landbase,discount_rate,flow_policy,period,projected_mcf,realized_mcf
2,0.0,-20%,7,11073.529531373384,10320.467361305033
2,0.0,-20%,8,13551.700789323098,16789.244274459415
2,0.0,-20%,9,10841.36063145848,13026.883801383978
2,0.0,-20%,10,8673.088505166783,10448.534567972993
2,0.0,-20%,11,6938.470804133427,8358.827653953256
2,0.0,-20%,12,5550.776643306742,5823.559933003244
2,0.0,-20%,13,4440.621314645394,8531.625574645805
2,0.0,-20%,14,3552.4970517163106,9536.110132390531
2,0.0,-20%,15,59152.46438781051,20405.44435108428
2,0.0,+/-10%,1,17462.523929750576,17462.523929750576
2,0.0,+/-10%,2,15716.27153677548,15716.271537143377
2,0.0,+/-10%,3,14144.644383098002,12218.897774442248
2,0.0,+/-10%,4,12730.179944788166,12254.092791319012
2,0.0,+/-10%,5,11457.161950309357,11425.269158264731
2,0.0,+/-10%,6,10311.44575527842,9955.584333723851
2,0.0,+/-10%,7,9878.679467457012,7534.805662694201
2,0.0,+/-10%,8,10866.54741420269,8839.784403845992
2,0.0,+/-10%,9,10575.706272423595,11535.102890275139
2,0.0,+/-10%,10,10585.663691321042,10439.537783451948
2,0.0,+/-10%,11,11644.230060453167,10073.314665115002
2,0.0,+/-10%,12,12808.653066498486,11080.646131300002
2,0.0,+/-10%,13,14089.518373148345,14016.526829961562
2,0.0,+/-10%,14,15498.470210463149,12664.711067893733
2,0.0,+/-10%,15,17048.31723150955,10004.987265961943
2,0.0,+/-20%,1,21574.25976027679,21574.25976027679
2,0.0,+/-20%,2,17259.407808221422,17192.32129881746
2,0.0,+/-20%,3,13807.526246577148,10961.21345310448
2,0.0,+/-20%,4,11046.020997261723,8198.954784502082
2,0.0,+/-20%,5,8836.816797809355,12775.739635387992
2,0.0,+/-20%,6,9298.195889853565,9298.195890933333
2,0.0,+/-20%,7,11157.835067824242,8900.530141499743
2,0.0,+/-20%,8,13389.402081389093,10500.38095422184
2,0.0,+/-20%,9,10711.521665111268,10305.598697223988
2,0.0,+/-20%,10,8569.217332089016,7999.40892340559
2,0.0,+/-20%,11,9986.882871482307,9872.822007157585
2,0.0,+/-20%,12,11984.259445778773,11847.3864044175
2,0.0,+/-20%,13,14381.111334934489,14134.772035199414
2,0.0,+/-20%,14,17257.333601921455,10469.886935463364
2,0.0,+/-20%,15,20708.80032230571,15711.839354387417
2,0.02,NHF,1,81822.22750000001,81822.22750000001
2,0.02,NHF,2,0.0,0.0
2,0.02,NHF,3,0.0,0.0
2,0.02,NHF,4,0.0,0.0
2,0.02,NHF,5,0.0,0.0
2,0.02,NHF,6,0.0,0.0
2,0.02,NHF,7,38300.0,38300.0
2,0.02,NHF,8,14375.0,14375.0
2,0.02,NHF,9,26850.0,26850.0
2,0.02,NHF,10,0.0,0.0
2,0.02,NHF,11,0.0,0.0
2,0.02,NHF,12,0.0,0.0
2,0.02,NHF,13,38300.0,38300.0
2,0.02,NHF,14,0.0,0.0
2,0.02,NHF,15,14375.0,14375.0
2,0.02,NDY,1,12163.028259491486,12163.028259491486
2,0.02,NDY,2,12163.028259491482,12084.93186581014
2,0.02,NDY,3,12163.028259491477,12028.08028952458
2,0.02,NDY,4,12163.028259491477,11911.158635017844
2,0.02,NDY,5,12163.02825949148,11908.68000996979
2,0.02,NDY,6,12163.028259491515,11852.466434630513
2,0.02,NDY,7,12163.028259491475,11752.868526849474
2,0.02,NDY,8,12163.028259491479,11748.958804576347
2,0.02,NDY,9,12163.028259491479,11707.909299112469
2,0.02,NDY,10,12163.028259491479,11701.118985731187
2,0.02,NDY,11,12163.028259491479,11698.089098848042
2,0.02,NDY,12,12163.028259491479,11691.53640853859
2,0.02,NDY,13,12163.028259491479,11694.690184590614
2,0.02,NDY,14,12163.028259491528,11579.419812001639
2,0.02,NDY,15,12163.028259491479,11562.481399108116
2,0.02,-10%,1,17462.523929750576,17462.523929750576
2,0.02,-10%,2,15716.271536775519,15716.27153708582
2,0.02,-10%,3,14144.644383097959,14144.644384596657
2,0.02,-10%,4,12730.179944788157,12730.179944881032
2,0.02,-10%,5,11457.161950309344,11457.161948318913
2,0.02,-10%,6,10311.445755278444,10311.445753951983
2,0.02,-10%,7,9280.30117975057,9280.301178540003
2,0.02,-10%,8,14262.485140551602,14006.893601483036
2,0.02,-10%,9,12836.236626496444,12606.204239489474
2,0.02,-10%,10,11552.612963846797,11345.583815040001
2,0.02,-10%,11,10397.351667462117,10528.633569900001
2,0.02,-10%,12,10311.445755278433,9475.77021216
2,0.02,-10%,13,9280.30117975057,14428.229159527305
2,0.02,-10%,14,17445.26958031838,12983.145523039422
2,0.02,-10%,15,16088.59225083849,11687.998677667912
2,0.02,-20%,1,22178.372880345218,22178.372880345218
2,0.02,-20%,2,17742.69830427617,17742.698303039397
2,0.02,-20%,3,14194.158643420938,14194.15864516641
2,0.02,-20%,4,11355.326914736752,11355.32691698255
2,0.02,-20%,5,9084.261531789405,9084.261541215388
2,0.02,-20%,6,7267.4092254315165,7267.409220314551
2,0.02,-20%,7,9550.407222197862,9550.407225300001
2,0.02,-20%,8,17656.16177985694,17980.3772009756
2,0.02,-20%,9,14124.929423885555,14384.30176219
2,0.02,-20%,10,11299.94353910844,11507.44141146
2,0.02,-20%,11,9039.954831286756,9205.95312578
2,0.02,-20%,12,11938.009027747328,7364.7624962400005
