landbase,discount_path,path_family,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,invj-4pc-k1,inverse-j,0.04,-20%,10,7153.460375286253,7869.8684218542485
1,invj-4pc-k1,inverse-j,0.04,-20%,11,5722.768300229003,6295.894737731861
1,invj-4pc-k1,inverse-j,0.04,-20%,12,4578.2146401832015,5036.71578801
1,invj-4pc-k1,inverse-j,0.04,-20%,13,3662.571712146562,14687.394935255557
1,invj-4pc-k1,inverse-j,0.04,-20%,14,2930.057369717246,11749.91595262
1,invj-4pc-k1,inverse-j,0.04,-20%,15,47170.396207083606,11865.329550053375
1,invj-4pc-k1,inverse-j,0.04,+/-10%,1,13970.019143800451,13970.019143800451
1,invj-4pc-k1,inverse-j,0.04,+/-10%,2,12573.017229420415,12485.910819292818
1,invj-4pc-k1,inverse-j,0.04,+/-10%,3,11315.715506478375,11341.044499426895
1,invj-4pc-k1,inverse-j,0.04,+/-10%,4,10184.14395583054,10206.940048937027
1,invj-4pc-k1,inverse-j,0.04,+/-10%,5,9165.729560247484,9186.246044337673
1,invj-4pc-k1,inverse-j,0.04,+/-10%,6,8249.156604222735,8267.621440975703
1,invj-4pc-k1,inverse-j,0.04,+/-10%,7,7481.485790717244,7481.485791180001
1,invj-4pc-k1,inverse-j,0.04,+/-10%,8,8229.634369788968,10015.808136502645
1,invj-4pc-k1,inverse-j,0.04,+/-10%,9,7833.25632396995,9327.765579748568
1,invj-4pc-k1,inverse-j,0.04,+/-10%,10,8616.581956366943,7605.849360929999
1,invj-4pc-k1,inverse-j,0.04,+/-10%,11,9478.24015200364,7976.649909364285
1,invj-4pc-k1,inverse-j,0.04,+/-10%,12,10426.064167204004,8774.314903645001
1,invj-4pc-k1,inverse-j,0.04,+/-10%,13,11468.670583924408,11854.89120725395
1,invj-4pc-k1,inverse-j,0.04,+/-10%,14,12615.537642316842,9838.139713250715
1,invj-4pc-k1,inverse-j,0.04,+/-10%,15,13877.091406548534,9733.262894871974
1,invj-4pc-k1,inverse-j,0.04,+/-20%,1,17296.861094773125,17296.861094773125
1,invj-4pc-k1,inverse-j,0.04,+/-20%,2,13837.488875818497,13837.488874743087
1,invj-4pc-k1,inverse-j,0.04,+/-20%,3,11069.9911006548,11606.371462046394
1,invj-4pc-k1,inverse-j,0.04,+/-20%,4,8855.992880523834,9310.270725200926
1,invj-4pc-k1,inverse-j,0.04,+/-20%,5,7084.794304419065,6094.136099671718
1,invj-4pc-k1,inverse-j,0.04,+/-20%,6,7312.653743810678,7312.653742990827
1,invj-4pc-k1,inverse-j,0.04,+/-20%,7,8775.184492572816,8775.18449338
1,invj-4pc-k1,inverse-j,0.04,+/-20%,8,10530.221391087382,11230.074282740405
