landbase,discount_rate,period,projected_mcf,realized_mcf
10,0.0,1,7277.928831419449,6926.550435825704
10,0.0,2,7277.928831419449,7275.192161499066
10,0.0,3,7277.928831419448,7277.92883141945
10,0.0,4,7264.986492699292,7277.928831419448
10,0.0,5,6633.950785029999,7277.928826682499
10,0.0,6,7277.928831419449,7277.928831419447
10,0.0,7,7277.928831419449,7277.928831419449
10,0.0,8,7277.928831419449,7277.92883141945
10,0.0,9,7277.928831419449,7277.928831419449
10,0.0,10,7277.928831419448,7277.928831419449
10,0.0,11,7277.92883141945,7277.92883141945
10,0.0,12,7277.928831419449,7277.928831419448
10,0.0,13,7277.928831419449,7277.928831419451
10,0.0,14,7277.928831419447,7277.928831419447
10,0.0,15,7277.928831419449,7277.928831419448
10,0.02,1,7277.928831419449,7277.928831419449
10,0.02,2,7277.928831419449,7277.928831419449
10,0.02,3,7277.928831419448,6916.383955515837
10,0.02,4,7264.986492699292,7277.92883141945
10,0.02,5,6633.950785029999,7277.928831467499
10,0.02,6,7277.928831419449,7277.928831419449
10,0.02,7,7277.928831419449,7277.928831419449
10,0.02,8,7277.928831419449,7277.928831419449
10,0.02,9,7277.928831419449,7277.928831419448
10,0.02,10,7277.928831419448,7277.92883141945
10,0.02,11,7277.92883141945,7277.928831419448
10,0.02,12,7277.928831419449,7277.928831419446
10,0.02,13,7277.928831419449,7277.928831419447
10,0.02,14,7277.928831419447,7277.928831419449
10,0.02,15,7277.928831419449,7277.928831419448
10,0.04,1,7220.167491487551,7220.167491487551
10,0.04,2,7220.1674914875475,7220.1674914875475
10,0.04,3,7220.1674914875475,7220.1674914875475
10,0.04,4,7220.167491487546,7220.167491487547
10,0.04,5,6932.756979610146,6932.756978489999
10,0.04,6,7220.1674914875475,7220.1674914875475
10,0.04,7,7220.167491487549,7220.167491487548
10,0.04,8,7220.167491487549,7220.167491487549
