landbase,discount_rate,flow_policy,flow_denominator,period,projected_mcf,realized_mcf,projected_revenue,realized_revenue
1,0.02,-10%,volume,10,9700.478849456376,9321.730201760001,12611092.078281824,11663446.272131737
1,0.02,-10%,volume,11,8730.430964510737,8389.5571853,10784339.506281832,10514150.350619383
1,0.02,-10%,volume,12,9406.45445068502,7550.60146652,12056974.172629045,9503476.762483288
1,0.02,-10%,volume,13,8465.809005616517,11253.540242873683,10394580.708866643,14002574.35764148
1,0.02,-10%,volume,14,9875.054573258103,10128.18621824,12355445.618127858,12671755.54951357
1,0.02,-10%,volume,15,14122.759382628803,9761.549928568795,19130330.795856934,13788297.933505423
1,0.02,-10%,revenue,1,15108.304397098338,16632.671091851,13232233.375446223,14489703.786328234
1,0.02,-10%,revenue,2,13597.473957388505,13442.02900037948,12980639.010640183,13040733.408040967
1,0.02,-10%,revenue,3,12237.72656164965,11506.31456447353,12566244.580340596,11736660.067066962
1,0.02,-10%,revenue,4,11013.953905484686,9354.286361904375,12594062.00865276,10562994.059368411
1,0.02,-10%,revenue,5,9912.55851493622,7713.61648309787,12161393.585695269,9506694.651589613
1,0.02,-10%,revenue,6,8921.302663442599,6808.864493952116,1171300.493322269,8556025.185828818
1,0.02,-10%,revenue,7,8029.172397098337,9152.97612234,9834910.07639527,11211454.0132603
1,0.02,-10%,revenue,8,11975.899814143664,11106.377368419999,16500648.711769346,15443251.677548919
1,0.02,-10%,revenue,9,10778.309832729301,10268.06094595623,14114526.836112216,13898926.511647478
1,0.02,-10%,revenue,10,9700.478849456376,9953.20390352,12611092.078281824,12509033.858199805
1,0.02,-10%,revenue,11,8730.430964510737,9004.684443136883,10784339.506281832,11258130.478506725
1,0.02,-10%,revenue,12,9406.45445068502,8004.68697094,12056974.172629045,10132317.434343575
1,0.02,-10%,revenue,13,8465.809005616517,10456.63064856,10394580.708866643,12882448.01371717
1,0.02,-10%,revenue,14,9875.054573258103,9241.3329689,12355445.618127858,11594203.201483672
1,0.02,-10%,revenue,15,14122.759382628803,9711.5114459227,19130330.795856934,13064247.098451015
1,0.02,-20%,volume,1,19188.383641252494,19188.383641252494,17248817.85586746,17248817.85586746
